target,source_col,split,source,layer,model,model_family,n_eval,positive_rate,accuracy,balanced_accuracy,macro_f1,roc_auc,average_precision
D_stat_nonzero,D_stat_max,random_kfold,raw,16,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7333333333333333,0.7337951509153884,0.733201581027668,0.801583374567046,0.698704739861606
D_stat_nonzero,D_stat_max,random_kfold,raw,20,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8222222222222222,0.8208807521029193,0.8214285714285714,0.8886689757545769,0.8792602762093114
D_stat_nonzero,D_stat_max,random_kfold,raw,20,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7,0.7008906481939634,0.6999629583899247,0.7540821375556654,0.6807845302535305
D_stat_nonzero,D_stat_max,random_kfold,raw,24,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8222222222222222,0.821870361207323,0.821870361207323,0.8812469074715487,0.8766296109275307
D_stat_nonzero,D_stat_max,random_kfold,raw,24,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7,0.7018802572983671,0.6999629583899247,0.7748639287481445,0.6792233687687181
D_stat_nonzero,D_stat_max,random_kfold,delta,0,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.843146956952004,0.84375,0.8805047006432459,0.8462642392431788
D_stat_nonzero,D_stat_max,random_kfold,delta,0,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.6777777777777778,0.677634834240475,0.6774193548387097,0.6806036615536863,0.6530101143733189
D_stat_nonzero,D_stat_max,random_kfold,delta,4,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8333333333333334,0.8325086590796635,0.8328173374613003,0.8864423552696685,0.8588945404157919
D_stat_nonzero,D_stat_max,random_kfold,delta,4,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.6666666666666666,0.6669965363681345,0.666501976284585,0.7142503711034142,0.6773998506581443
D_stat_nonzero,D_stat_max,random_kfold,delta,8,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.8441365660564077,0.8441365660564077,0.8795150915388421,0.8288729775660197
D_stat_nonzero,D_stat_max,random_kfold,delta,8,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7555555555555555,0.7540821375556654,0.7544642857142858,0.7756061355764473,0.7449721033507958
D_stat_nonzero,D_stat_max,random_kfold,delta,12,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8222222222222222,0.8208807521029193,0.8214285714285714,0.8899059871350816,0.8459856136106471
D_stat_nonzero,D_stat_max,random_kfold,delta,12,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7888888888888889,0.7869866402770905,0.7876040243448019,0.7894606630380999,0.7240082784782108
D_stat_nonzero,D_stat_max,random_kfold,delta,16,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.843146956952004,0.84375,0.8735774369124196,0.7969185484013666
D_stat_nonzero,D_stat_max,random_kfold,delta,16,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7777777777777778,0.7773379515091539,0.7773379515091539,0.7986145472538347,0.7160278402486162
D_stat_nonzero,D_stat_max,random_kfold,delta,20,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.843146956952004,0.84375,0.8918852053438892,0.8488686166613975
